operation_date,document_number,amount,direction,counterparty_name,payment_purpose,rows_count,source_files,source_files_count,min_source_row,max_source_row
2026-01-26,205,5280.0,credit,"ООО ""ТОРГСЕРВИС 150"" Р/С 40702810340070001204 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС150/25-241ПМСК ОТ 31.12.2024 МО ГДОМОДЕДОВО МКРСЕВЕРНЫЙ УЛЛОГИСТИЧЕСКАЯ СТР10/1 (ТС 150). СУММА 5280-00 В Т.Ч. НДС,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1337,1441
2026-01-26,212,22203.6,credit,"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810766000014950 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС71/2026-3 ОТ 08.12.2025 ТУЛА СКУРАТОВСКАЯ 100А. СУММА 22203-60 В Т.Ч. НДС(10%) 2018-51,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1348,1452
2026-01-26,225,4516.8,credit,"ООО ""ТОРГСЕРВИС 71"" Р/С 40702810966000007592 в ПАО Сбербанк г Москва",ОПЛАТА ЗА ТОВАР СОГЛАСНО ДОГОВОРУ ПОСТАВКИ № ТС71/2026-3 ОТ 08.12.2025 ТУЛА ПАРКОВАЯ 7А. СУММА 4516-80 В Т.Ч. НДС(10%) 410-62,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1347,1451
2026-01-27,21,-15000.0,debit,Мадоян Мартин Сашаевич,Заработная плата за 1 половину января 2026г. НДС не облагается,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1330,1434
2026-01-27,22,-12000.0,debit,Сушкина Оксана Васильевна,Заработная плата за 1 половину января 2026г. НДС не облагается,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1331,1435
2026-01-27,23,-75155.0,debit,Мишаткина Марина Викторовна,Оплата по договору № 12/2024 от 5 декабря 2024г за услуги. НДС не облагается,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1333,1437
2026-01-27,24,-17000.0,debit,Казначейство России ( ФНС России),Единый налоговый платеж. НДС не облагается,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1335,1439
2026-01-27,26,-1575.0,debit,"АО ""ТЕЛЕ-СЕРВИС ТУЛА""","оплата по счету № 4930 от 01.02.2026. абонентская плата за февраль 2026г В том числе НДС 5%, 75.00 руб.",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1332,1436
2026-01-27,737672,-24000.0,debit,"АО ""АЛЬФА-БАНК""",{VO70060} 40820810H ЗАРАБОТНАЯ ПЛАТА по //Реестру// от 27.01.2026 № 7100040031270126LJCQ к Договору ПДС от 23.06.2025 № SP-848194. Общее кол-во п/д по //Реестру// 2 нерез,2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1334,1438
2026-01-28,27,-30000.0,debit,"ООО ""ППР""","Оплата по договору № 77600100252491125 от 13.11.2025г. В том числе НДС 20%, 5000.00 руб.",2,Выписка_40702810101690000356_01.05.2025–30.04.2026.xlsx | Выписка_40702810101690000356_01.06.2025–09.05.2026.xlsx,2,1289,1393
